"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"K-Elements BBQ","False","True","3","Food is solid, good atmosphere and energy, great to watch games. I’d go here more for the vibes than food. ","2022-02-19 23:20:41.430402+00:00"
"Dancing Yak Nepali Cuisine & Bar","False","True","4","Very tasty food, cool cocktails. Nice spice and flavor. ","2022-02-19 23:18:04.697806+00:00"
"Salt & Straw - Hayes Valley","False","True","5","Every single flavor is consistently dank. New monthly flavors are creative and always tasty. ","2022-02-19 23:19:31.305516+00:00"
"Farmhouse Kitchen","False","True","4","Family platter is very tasty. Good selection of food that can feed more than 4 people. Presented very nicely. ","2022-02-19 23:23:24.247092+00:00"
"Roma Antica","False","True","5","Very nice ambiance, waiters are super friendly. Food tastes good. Vibes date spot. ","2022-02-19 23:53:37.619734+00:00"
"San Francisco Athletic Club","False","True","4","Food is fine, nothing special but atmosphere is really good. Energy is really good to watch games. Great drinks and bar food selection. ","2022-02-19 23:21:23.933038+00:00"
"Flores","False","True","4","Atmosphere is great, margaritas are very tasty. Chips and salsa are amazing. Tacos are excellent. ","2022-02-19 23:26:24.060122+00:00"
"Viva Goa Indian Cuisine","False","True","4","","2022-04-13 03:03:53.542037+00:00"
"Viva Goa Indian Cuisine","False","True","4","Delicious Goan style curries, which are different than the typical Indian eatery. The Goan curries and seafood masala fry dishes are standouts. The ambiance isn’t glamorous by any means, but you’ll have a delicious meal no doubt. ","2022-04-13 03:07:08.508939+00:00"
"Nob Hill Cafe","False","True","5","Tasty food, super cute place. Feels like you’re eating in someone’s living room. Friendly staff and good value. ","2022-02-19 23:16:44.661803+00:00"
"Blackwood","False","True","3","Solid brunch spot, little overpriced, service is friendly, great neighborhood. Don’t have to wait too long for a table. ","2022-02-19 23:22:28.085957+00:00"
"Pancho Villa","False","True","4","Burritos are solid, salsa bar is fire","2022-02-19 23:07:58.808030+00:00"
