"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Iza Ramen","False","True","4","Solid ramen for affordable price. Surprisingly veggie dishes are well made and broth is very spicy. Tasted great. ","2022-02-17 19:33:49.468731+00:00"
"Surisan","False","True","4","Solid ambiance in the marina. Beautiful area. Service is amazing. Portion sizes are massive. Overall great brunch spot. ","2022-02-17 15:40:10.938091+00:00"
"Shizen","False","True","4","It was great! Didn't eat the sushi because I was craving Ramen. I know this place is known for its sushi, but don't sleep on the Ramen.","2022-03-16 19:23:50.341991+00:00"
"BAIA","False","True","5","I'd go here JUST for their garlic knots. It's delectable af","2022-05-25 04:15:02.624750+00:00"
"New Burma","False","True","5","Amazing food, massive portions. Huge fan of the tea leaf salad.","2022-03-30 19:18:24.667080+00:00"
"MAC'D","False","True","4","Great late night food, solid portion sizes, hits the spot when you’re in the mood for something to warm you up. ","2022-02-17 19:32:56.248203+00:00"
"Tropisueño SF","False","True","4","Really good vibes, great for large group settings (outdoor available). Food comes fast and is vegetarian friendly. Overall solid Mexican food. ","2022-02-17 19:36:37.638916+00:00"
"Plancha Tacos","False","True","4","Enchiladas were so good. A little too cheesy, but it hit the spot. Danky af","2022-06-23 06:19:35.699000+00:00"
"Chaat Corner","False","True","4","The food was good for the amount we paid. A little disappointed that the chole was bland and lacked spice.","2022-05-09 00:58:02.668035+00:00"
"Burma Love","False","True","4","Some of the healthiest food you can find in the city. There’s something there everyone. It’s always packed, especially in the evenings, so try to make a reservation. ","2022-02-17 19:31:59.932194+00:00"
"54 Mint","False","True","4","Solid ambiance, cute vibes, phenomenal drinks, worth the value","2022-02-17 15:18:17.344040+00:00"
"Seniore's Pizza","False","True","4","If you’re in the mood for the worst best food, this is the place to be. Food is incomplete without seniores saucy so make sure you get that. ","2022-02-17 15:24:27.240668+00:00"
"Domino's Pizza","False","True","5","I don't care how many times I have bougie, arthouse pizza, domino's will always hit the spot, especially the pan pizza","2022-05-25 04:13:17.409665+00:00"
"Patxi's Pizza","False","True","4","Out of all the deep dishes I’ve tried in the bay, this place is the best. Quality is amazing, you won’t be hungry after eating this. ","2022-02-17 19:37:54.603569+00:00"
"Amber India","False","True","5","The brunch buffet is always a vibe. I know $39 may seem steep but with bottomless margs and unlimited juice it's a fantastic deal for large groups to chill ","2022-05-23 02:22:48.004972+00:00"
