"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Crepes on Cole","False","True","5","Love going here for lunch/brunch! They have both sweet and savory crepes and lots of other options as well. Also a great place to chill and work because they have wifi, lots of natural light, and windows open with fresh air!","2022-05-26 19:54:09.246992+00:00"
"Marufuku Ramen","False","True","4","I always get the vegetable ramen and the broth is super good. Very flavorful! And spinach noodles make me feel healthy even though they’re probably not. I just wish they added more vegetables and not just a bucket load of arugula. 🙃","2022-06-02 06:55:12.627946+00:00"
"Robeks Fresh Juices & Smoothies","False","True","5","Always gotta get acai in LA 😋 really good, but would be even better if they added more fruit on top","2022-06-20 16:11:18.768651+00:00"
"Piccolo Forno Pizzeria","False","True","4","Tried 4 pastas, in order from best to worst: truffle mushroom ravioli (sooo good), eggplant mozzarella penne, butternut squash ravioli (the oil it was cooked in tasted old), gnocchi with mozzarella and basil (pretty bland)","2022-08-09 07:37:54.874881+00:00"
"Dancing Yak Nepali Cuisine & Bar","False","True","4","My favorite was the paneer cashew curry 😋","2022-08-09 07:34:26.301724+00:00"
"Domino's Pizza","False","True","5","Successfully satisfied my craving 😋 always a banger","2022-05-25 04:14:27.366621+00:00"
"Chaat Bhavan","False","True","5","Chaat Bhavan will always hold a special place in my heart ❤️ this time I tried the paneer tikka masala and the paneer was cooked to perfection 😋","2022-07-01 21:53:30.734480+00:00"
"Élephante","False","True","5","I’ve heard mixed reviews of this place. Some people say it’s one of their favorite spots, and some people say it’s over-hyped and full of influencers. I thought it was really good though, pesto pasta was amazing, views and weather are perfect if you go between late afternoon and sunset.","2022-06-20 16:15:39.759838+00:00"
"Bhoga","False","True","3","Finally got to try this place out with @mihir! Honestly this place started out strong. The shahi paneer and navarathan korma were pretty good, but the low rating is because we randomly saw a FREAKING MOUSE running around the floor near us!!! And the staff did nothing about it and just laughed. So I had to eat with my feet up the whole time and later wondered whether I should have eaten the food at all. But this place is otherwise well-reviewed so I guess it was just a one-time thing. 🙃 Anyway, the menu had a lot of options, both north indian and south indian. There were more gravy dishes than vegetable dishes, but I think it’s because they are catering to a non indian crowd since they call themselves “progressive indian” food. Still not sure if I would go back here after that experience lol…","2022-05-26 17:43:01.556499+00:00"
"Cafe Vitale","False","True","4","Bread basket was super fresh and good. I got the mushroom ravioli and taste was pretty good, but the filling was kinda dry. And appetizers were really small so gave it 4 stars.","2022-05-30 18:37:20.568694+00:00"
"Burma Love","False","True","5","This place was packed for a monday night! Tea leaf salad is one of my favorite meals ever. Garlic noodles were amazing too.","2022-06-07 15:43:32.551445+00:00"
"Shizen","False","True","5","","2022-04-16 00:23:07.218369+00:00"
