"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"787 Coffee Co.","False","True","5","","2022-03-28 05:54:46.662778+00:00"
"Levain Bakery","False","True","5","","2022-03-28 05:55:59.106233+00:00"
"ilili Restaurant","False","True","4","Good but not amazing","2022-03-28 05:55:24.512738+00:00"
"Dhamaka","False","True","4","Some items were incredible and some were alright. ","2022-03-28 05:54:24.302687+00:00"
"Baar Baar","False","True","3","","2022-03-28 05:51:44.198854+00:00"
"Oxomoco NYC","False","True","3","","2022-03-28 05:52:43.075590+00:00"
"Maison Pickle Cocktails & French Dip","False","True","5","Best brunch I’ve had in the city!","2022-03-28 05:53:41.988366+00:00"
"Ruby's","False","True","5","Good and high quality cafe for lunch or takeout","2022-06-16 19:11:41.612019+00:00"
"Spot Dessert Bar","False","True","5","","2022-03-28 05:56:28.335948+00:00"
"Summer Salt","False","True","5","","2022-03-28 05:55:52.956472+00:00"
"Veselka","False","True","4","Heavy food and large portions so go with an empty stomsch","2022-03-28 05:58:11.957778+00:00"
"Lombardi's","False","True","5","","2022-03-28 05:57:40.085868+00:00"
"Punjab Grill","False","True","4","","2022-05-09 20:35:54.291617+00:00"
"Thai Villa","False","True","5","","2022-03-28 05:51:26.934594+00:00"
"Sense of Thai St","False","True","5","","2022-05-09 20:35:41.772193+00:00"
"Dominique Ansel Workshop","False","True","5","","2022-03-28 05:51:12.529242+00:00"
"San Marzano Pasta Fresca","False","True","2","Definitely went down in quality since covid","2022-03-28 05:57:27.985275+00:00"
"Her Name Is Han","False","True","4","","2022-06-16 19:13:05.729175+00:00"
"Semma","False","True","5","Really good and spicy! ","2022-06-16 19:10:25.696789+00:00"
"Indian Accent","True","False","","",""
"Lucali","True","False","","",""
